Date,Sales
1/3/2022,425000000
2/3/2022,315000000
3/3/2022,432000000
4/3/2022,357000000
5/3/2022,348000000
6/3/2022,436000000
7/3/2022,299000000
8/3/2022,297000000
9/3/2022,427000000
10/3/2022,330000000
11/3/2022,282000000
12/3/2022,166000000
1/3/2023,629000000
2/3/2023,263000000
3/3/2023,469000000
4/3/2023,313000000
5/3/2023,444000000
6/3/2023,387000000
7/3/2023,414000000
8/3/2023,253000000
9/3/2023,484000000
10/3/2023,306000000
11/3/2023,315000000
12/3/2023,183000000
1/3/2024,656000000
2/3/2024,270000000
3/3/2024,429000000
4/3/2024,260000000
5/3/2024,528000000
6/3/2024,380000000
7/3/2024,472000000
8/3/2024,255000000
9/3/2024,551000000
10/3/2024,336000000
11/3/2024,320000000
12/3/2024,277000000
1/3/2025,455000000
2/3/2025,248000000
3/3/2025,732000000
4/3/2025,357000000
5/3/2025,453000000
6/3/2025,320000000
7/3/2025,452000000
8/3/2025,249000000
9/3/2025,745000000
10/3/2025,421000000
11/3/2025,397000000
